# ----------------------------------------,,,,,,,,,
# jbdon,,,,,,,,,
# Channels,,,,,,,,,
# 20180831-20190831,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Keyword,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Contact From Good Lead (Goal 1 Conversion Rate),Contact From Good Lead (Goal 1 Completions),Contact From Good Lead (Goal 1 Value)
(not provided),615,591,727,35.90%,1.75,00:01:42,0.00%,0,£0.00
amazon,3,3,3,100.00%,1,00:00:00,0.00%,0,£0.00
(not set),1,1,1,100.00%,1,00:00:00,0.00%,0,£0.00
jbdon,1,1,1,0.00%,2,00:11:37,0.00%,0,£0.00
jbdon london,1,1,1,0.00%,1,00:05:27,0.00%,0,£0.00
,622,598,734,36.10%,1.75,00:01:43,0.00%,0,£0.00
,,,,,,,,,
Day Index,Users,,,,,,,,
10/22/18,5,,,,,,,,
10/23/18,3,,,,,,,,
10/24/18,3,,,,,,,,
10/25/18,6,,,,,,,,
10/26/18,1,,,,,,,,
10/27/18,0,,,,,,,,
10/28/18,0,,,,,,,,
10/29/18,4,,,,,,,,
10/30/18,0,,,,,,,,
10/31/18,8,,,,,,,,
11-01-2018,3,,,,,,,,
11-02-2018,2,,,,,,,,
11-03-2018,3,,,,,,,,
11-04-2018,1,,,,,,,,
11-05-2018,2,,,,,,,,
11-06-2018,5,,,,,,,,
11-07-2018,3,,,,,,,,
11-08-2018,2,,,,,,,,
11-09-2018,4,,,,,,,,
11-10-2018,1,,,,,,,,
11-11-2018,2,,,,,,,,
11-12-2018,3,,,,,,,,
11/13/18,3,,,,,,,,
11/14/18,5,,,,,,,,
11/15/18,3,,,,,,,,
11/16/18,3,,,,,,,,
11/17/18,2,,,,,,,,
11/18/18,2,,,,,,,,
11/19/18,2,,,,,,,,
11/20/18,4,,,,,,,,
11/21/18,5,,,,,,,,
11/22/18,3,,,,,,,,
11/23/18,1,,,,,,,,
11/24/18,0,,,,,,,,
11/25/18,1,,,,,,,,
11/26/18,5,,,,,,,,
11/27/18,4,,,,,,,,
11/28/18,2,,,,,,,,
11/29/18,1,,,,,,,,
11/30/18,0,,,,,,,,
12-01-2018,1,,,,,,,,
12-02-2018,1,,,,,,,,
12-03-2018,8,,,,,,,,
12-04-2018,0,,,,,,,,
12-05-2018,0,,,,,,,,
12-06-2018,0,,,,,,,,
12-07-2018,0,,,,,,,,
12-08-2018,0,,,,,,,,
12-09-2018,0,,,,,,,,
12-10-2018,0,,,,,,,,
12-11-2018,0,,,,,,,,
12-12-2018,0,,,,,,,,
12/13/18,0,,,,,,,,
12/14/18,0,,,,,,,,
12/15/18,0,,,,,,,,
12/16/18,0,,,,,,,,
12/17/18,0,,,,,,,,
12/18/18,0,,,,,,,,
12/19/18,0,,,,,,,,
12/20/18,0,,,,,,,,
12/21/18,0,,,,,,,,
12/22/18,0,,,,,,,,
12/23/18,0,,,,,,,,
12/24/18,0,,,,,,,,
12/25/18,0,,,,,,,,
12/26/18,0,,,,,,,,
12/27/18,0,,,,,,,,
12/28/18,0,,,,,,,,
12/29/18,0,,,,,,,,
12/30/18,0,,,,,,,,
12/31/18,0,,,,,,,,
01-01-2019,0,,,,,,,,
01-02-2019,0,,,,,,,,
01-03-2019,0,,,,,,,,
01-04-2019,0,,,,,,,,
01-05-2019,0,,,,,,,,
01-06-2019,0,,,,,,,,
01-07-2019,0,,,,,,,,
01-08-2019,0,,,,,,,,
01-09-2019,0,,,,,,,,
01-10-2019,0,,,,,,,,
01-11-2019,3,,,,,,,,
01-12-2019,1,,,,,,,,
1/13/19,0,,,,,,,,
1/14/19,2,,,,,,,,
